Customer_ID,Customer_Type,Country,Loyalty_Status
C000231,Business,India,Regular
C000232,Couple,India,Regular
C000233,Family,USA,Gold
C000234,Couple,India,Regular
C000235,Individual,India,Gold
C000236,Family,India,Regular
C000237,Individual,India,Silver
C000238,Individual,India,Regular
C000239,Family,India,Gold
C000240,Individual,India,New
C000241,Group,Germany,Regular
C000242,Group,India,New
C000243,Group,India,Regular
C000244,Couple,Australia,Regular
C000245,Individual,USA,New
C000246,Group,India,Platinum
C000247,Couple,UK,New
C000248,Group,Singapore,Gold
C000249,Group,India,Platinum
C000250,Business,India,New
C000251,Individual,India,Silver
C000252,Couple,Canada,New
C000253,Business,India,New
C000254,Individual,India,Regular
C000255,Individual,Singapore,Platinum
C000256,Couple,India,New
C000257,Group,India,Regular
C000258,Family,India,Regular
C000259,Family,India,Gold
C000260,Individual,Singapore,New
C000261,Family,India,Silver
C000262,Group,UAE,Silver
C000263,Individual,India,Silver
C000264,Couple,India,Platinum
C000265,Business,Germany,Gold
C000266,Family,India,New
C000267,Family,India,Regular
C000268,Family,India,Regular
C000269,Couple,UAE,Regular
C000270,Individual,India,Regular
C000271,Business,India,Regular
C000272,Business,India,Regular
C000273,Business,India,Platinum
C000274,Group,UK,New
C000275,Couple,India,Platinum
C000276,Couple,India,Regular
C000277,Business,India,Silver
C000278,Family,India,Gold
C000279,Family,Australia,Regular
C000280,Business,India,Regular
C000281,Business,Germany,Regular
C000282,Individual,India,Regular
C000283,Couple,India,Platinum
C000284,Individual,Singapore,Gold
C000285,Family,India,New
C000286,Individual,USA,New
C000287,Couple,Germany,Regular
C000288,Couple,India,New
C000289,Individual,India,Silver
C000290,Family,USA,New
C000291,Individual,India,Regular
C000292,Individual,India,New
C000293,Business,India,Regular
C000294,Couple,India,Silver
C000295,Individual,UK,Regular
C000296,Couple,India,Platinum
C000297,Business,India,Gold
C000298,Individual,India,Regular
C000299,Family,India,New
C000300,Individual,India,Gold
C000301,Individual,UK,Gold
C000302,Couple,India,Gold
C000303,Couple,UK,New
C000304,Family,Singapore,Platinum
C000305,Family,India,New
C000306,Group,India,Silver
C000307,Couple,India,Gold
C000308,Individual,India,New
C000309,Business,Singapore,Gold
C000310,Individual,Singapore,Regular
C000311,Couple,India,Platinum
C000312,Individual,India,New
C000313,Individual,Australia,Platinum
C000314,Group,Canada,New
C000315,Business,India,Silver
C000316,Family,India,Regular
C000317,Couple,India,Regular
C000318,Individual,Canada,New
C000319,Individual,India,Silver
C000320,Individual,India,New
C000321,Couple,India,Regular
C000322,Family,India,New
C000323,Family,India,Platinum
C000324,Individual,Germany,New
C000325,Group,India,New
C000326,Family,India,New
C000327,Couple,India,Regular
C000328,Family,India,New
C000329,Couple,India,Regular
C000330,Individual,India,Gold
C000331,Couple,India,Silver
C000332,Business,India,Regular
C000333,Individual,India,New
C000334,Individual,India,Silver
C000335,Individual,Canada,New
C000336,Individual,Canada,Gold
C000337,Business,India,New
C000338,Family,India,Regular
C000339,Couple,Australia,Regular
C000340,Individual,India,Gold
C000341,Couple,UAE,New
C000342,Couple,Canada,Regular
C000343,Individual,India,New
C000344,Couple,India,Silver
C000345,Couple,Canada,Gold
C000346,Family,India,Regular
C000347,Family,India,Regular
C000348,Individual,India,Platinum
C000349,Couple,India,Regular
C000350,Family,India,Regular
C000351,Couple,USA,Regular
C000352,Business,Germany,Silver
C000353,Family,India,New
C000354,Individual,India,Gold
C000355,Individual,India,Regular
C000356,Family,India,New
C000357,Individual,India,Gold
C000358,Family,Germany,Regular
C000359,Group,UAE,New
C000360,Family,India,Silver
C000361,Couple,India,Gold
C000362,Family,India,Gold
C000363,Couple,India,Platinum
C000364,Couple,India,Gold
C000365,Group,India,New
C000366,Couple,Germany,Regular
C000367,Group,India,Gold
C000368,Group,India,Regular
C000369,Individual,UK,Silver
C000370,Individual,India,Silver
C000371,Individual,India,Regular
C000372,Individual,India,Gold
C000373,Individual,India,Regular
C000374,Family,UK,Regular
C000375,Individual,India,Platinum
C000376,Individual,UK,Regular
C000377,Business,India,New
C000378,Individual,India,Regular
C000379,Business,UK,Gold
C000380,Individual,India,Silver
C000381,Individual,India,Gold
C000382,Family,India,Silver
C000383,Family,India,New
C000384,Business,India,Gold
C000385,Family,India,Gold
C000386,Business,India,New
C000387,Individual,India,New
C000388,Individual,Canada,Platinum
C000389,Business,India,Gold
C000390,Business,Singapore,Gold
C000391,Group,India,Gold
C000392,Couple,India,Regular
C000393,Couple,Singapore,Silver
C000394,Business,India,Regular
C000395,Individual,USA,New
C000396,Group,India,Silver
C000397,Business,India,Regular
C000398,Couple,India,Silver
C000399,Business,India,Regular
C000400,Business,Singapore,Regular
C000401,Individual,India,New
C000402,Group,Canada,New
C000403,Couple,Canada,New
C000404,Business,India,New
C000405,Individual,India,Platinum
C000406,Business,Singapore,New
C000407,Couple,Canada,New
C000408,Individual,India,Regular
C000409,Group,India,Silver
C000410,Individual,India,New
C000411,Individual,India,Gold
C000412,Group,India,Gold
C000413,Group,USA,New
C000414,Family,India,New
C000415,Family,India,Platinum
C000416,Couple,India,Gold
C000417,Individual,India,Silver
C000418,Individual,India,New
C000419,Family,India,Regular
C000420,Business,India,Regular
C000421,Business,India,New
C000422,Business,India,Regular
C000423,Individual,Germany,Silver
C000424,Couple,India,Regular
C000425,Individual,India,Gold
C000426,Couple,India,Gold
C000427,Couple,Germany,Regular
C000428,Business,India,Gold
C000429,Couple,India,New
C000430,Individual,USA,Gold
C000431,Individual,India,New
C000432,Business,India,New
C000433,Family,India,Silver
C000434,Individual,India,Regular
C000435,Individual,India,Gold
C000436,Family,USA,Regular
C000437,Individual,India,New
C000438,Business,UAE,Regular
C000439,Family,India,Regular
C000440,Individual,UAE,Regular
C000441,Individual,India,Silver
C000442,Group,India,Silver
C000443,Couple,India,Gold
C000444,Couple,Canada,Platinum
C000445,Business,India,New
C000446,Group,India,Silver
C000447,Group,India,Regular
C000448,Business,India,Silver
C000449,Couple,India,Regular
C000450,Individual,India,Platinum
C000451,Business,India,Silver
C000452,Couple,India,Platinum
C000453,Couple,India,Gold
C000454,Group,India,Gold
C000455,Individual,USA,Gold
C000456,Couple,India,Regular
C000457,Individual,India,New
C000458,Couple,India,Regular
C000459,Individual,Germany,New
C000460,Individual,Canada,Regular
C000461,Individual,UK,Regular
C000462,Family,India,Regular
C000463,Family,India,Platinum
C000464,Family,India,Gold
C000465,Group,India,New
C000466,Couple,India,Regular
C000467,Individual,UK,Regular
C000468,Business,UAE,Regular
C000469,Individual,UAE,Gold
C000470,Group,India,Regular
C000471,Individual,India,Regular
C000472,Group,India,Gold
C000473,Individual,India,Gold
C000474,Business,USA,New
C000475,Couple,India,Silver
C000476,Group,India,Regular
C000477,Individual,India,New
C000478,Couple,India,New
C000479,Group,UK,Regular
C000480,Couple,India,Regular
C000481,Family,UAE,New
C000482,Family,India,Silver
C000483,Couple,India,Silver
C000484,Family,USA,New
C000485,Family,India,New
C000486,Group,Germany,Gold
C000487,Individual,India,New
C000488,Individual,India,Platinum
C000489,Group,India,Silver
C000490,Business,Australia,Regular
C000491,Couple,India,New
C000492,Family,USA,New
C000493,Individual,India,New
C000494,Individual,India,New
C000495,Couple,India,Silver
C000496,Couple,India,New
C000497,Family,India,Regular
C000498,Individual,Singapore,Regular
C000499,Group,India,New
C000500,Group,India,New
C000501,Family,India,New
C000502,Couple,India,New
C000503,Individual,India,Silver
C000504,Business,India,Regular
C000505,Family,India,Gold
C000506,Individual,India,Regular
C000507,Group,India,Regular
C000508,Business,India,Regular
C000509,Group,India,Silver
C000510,Family,India,New
C000511,Family,India,New
C000512,Couple,Australia,Regular
C000513,Group,Singapore,Regular
C000514,Business,USA,Regular
C000515,Individual,India,Silver
C000516,Individual,UK,Regular
C000517,Couple,UK,Silver
C000518,Business,UK,Regular
C000519,Group,India,Silver
C000520,Individual,India,Silver
C000521,Family,UAE,Regular
C000522,Couple,India,Silver
C000523,Group,India,Gold
C000524,Business,India,Regular
C000525,Business,India,Regular
C000526,Couple,India,Silver
C000527,Couple,India,Regular
C000528,Individual,India,New
C000529,Individual,India,Gold
C000530,Business,India,New
C000531,Business,India,Silver
C000532,Group,India,Silver
C000533,Group,India,Platinum
C000534,Couple,UK,New
C000535,Business,India,Regular
C000536,Group,India,Regular
C000537,Business,India,Regular
C000538,Individual,Singapore,New
C000539,Couple,India,Regular
C000540,Individual,India,Regular
C000541,Group,India,New
C000542,Family,India,Silver
C000543,Individual,Singapore,Silver
C000544,Family,UAE,Silver
C000545,Family,India,Gold
C000546,Couple,India,Regular
C000547,Individual,India,Platinum
C000548,Family,India,Gold
C000549,Couple,India,New
C000550,Business,India,New
C000551,Couple,India,Regular
C000552,Business,India,Regular
C000553,Couple,Canada,Regular
C000554,Couple,India,Regular
C000555,Business,UAE,Silver
C000556,Couple,USA,Regular
C000557,Individual,India,New
C000558,Individual,USA,Gold
C000559,Business,India,Regular
C000560,Family,India,Platinum
C000561,Family,India,New
C000562,Individual,Germany,Platinum
C000563,Individual,India,New
C000564,Individual,India,New
C000565,Couple,Australia,New
C000566,Family,India,Silver
C000567,Couple,India,Gold
C000568,Couple,USA,Regular
C000569,Group,UAE,Platinum
C000570,Individual,Germany,Regular
C000571,Couple,Germany,Silver
C000572,Business,India,Gold
C000573,Couple,UAE,New
C000574,Family,India,Regular
C000575,Business,India,Gold
C000576,Group,India,Gold
C000577,Individual,India,Platinum
C000578,Group,Germany,Gold
C000579,Couple,Australia,New
C000580,Individual,India,Gold
C000581,Couple,India,Regular
C000582,Group,India,Platinum
C000583,Couple,UAE,Regular
C000584,Individual,USA,Regular
C000585,Family,India,Regular
C000586,Individual,India,Regular
C000587,Individual,India,New
C000588,Individual,India,Gold
C000589,Individual,Australia,Gold
C000590,Individual,India,New
C000591,Individual,India,Silver
C000592,Family,India,Silver
C000593,Individual,India,Regular
C000594,Individual,Germany,New
C000595,Business,India,Gold
C000596,Couple,India,Silver
C000597,Family,India,Regular
C000598,Individual,India,Silver
C000599,Individual,India,New
C000600,Individual,USA,Regular
C000601,Individual,India,New
C000602,Individual,India,New
C000603,Individual,India,Silver
C000604,Individual,India,Gold
C000605,Individual,India,Regular
C000606,Couple,India,New
C000607,Individual,Singapore,Silver
C000608,Couple,Singapore,Gold
C000609,Couple,India,Silver
C000610,Family,India,Gold
C000611,Individual,India,Regular
C000612,Business,India,Silver
C000613,Family,UAE,New
C000614,Individual,India,Regular
C000615,Business,India,Regular
C000616,Group,UAE,Regular
C000617,Individual,Singapore,Platinum
C000618,Individual,India,Gold
C000619,Business,India,New
C000620,Family,India,New
C000621,Individual,India,Regular
C000622,Individual,Australia,New
C000623,Couple,UAE,Silver
C000624,Couple,UK,Gold
C000625,Family,India,Platinum
C000626,Couple,UAE,Silver
C000627,Couple,India,Gold
C000628,Family,India,Regular
C000629,Individual,India,New
C000630,Individual,India,Regular
C000631,Family,USA,Regular
C000632,Business,India,Silver
C000633,Couple,India,New
C000634,Couple,India,Regular
C000635,Individual,India,Regular
C000636,Couple,India,Platinum
C000637,Couple,India,Regular
C000638,Individual,UAE,Silver
C000639,Individual,India,Silver
C000640,Couple,India,New
C000641,Individual,India,Regular
C000642,Individual,UAE,Gold
C000643,Individual,India,Regular
C000644,Individual,India,Platinum
C000645,Individual,India,New
C000646,Business,India,New
C000647,Family,India,Gold
C000648,Family,USA,Gold
C000649,Business,India,Platinum
C000650,Couple,India,Silver
C000651,Individual,USA,Platinum
C000652,Couple,India,Gold
C000653,Family,India,Gold
C000654,Family,India,Regular
C000655,Couple,India,Regular
C000656,Individual,India,Platinum
C000657,Individual,India,Regular
C000658,Couple,UAE,Regular
C000659,Family,Canada,Regular
C000660,Family,India,Regular
C000661,Couple,India,Regular
C000662,Group,India,New
C000663,Family,UAE,Gold
C000664,Individual,India,Regular
C000665,Individual,India,Regular
C000666,Individual,UK,New
C000667,Individual,USA,New
C000668,Individual,UAE,New
C000669,Individual,India,Silver
C000670,Individual,USA,New
C000671,Individual,UAE,Gold
C000672,Business,India,New
C000673,Individual,India,New
C000674,Couple,India,New
C000675,Couple,Canada,New
C000676,Group,India,Silver
C000677,Individual,India,Gold
C000678,Couple,India,Silver
C000679,Group,USA,New
C000680,Business,India,New
C000681,Business,India,Regular
C000682,Individual,India,Platinum
C000683,Individual,Australia,New
C000684,Family,India,Silver
C000685,Group,India,Regular
C000686,Couple,USA,New
C000687,Family,India,Regular
C000688,Individual,Australia,New
C000689,Business,India,Gold
C000690,Individual,India,New
C000691,Individual,India,Silver
C000692,Couple,India,New
C000693,Couple,India,Platinum
C000694,Individual,India,New
C000695,Individual,USA,Gold
C000696,Family,India,Gold
C000697,Individual,India,Platinum
C000698,Family,India,Regular
C000699,Individual,Germany,Silver
C000700,Couple,India,Regular
C000701,Couple,India,New
C000702,Individual,India,Regular
C000703,Individual,India,New
C000704,Individual,India,Platinum
C000705,Individual,Australia,New
C000706,Group,India,Regular
C000707,Individual,Singapore,Silver
C000708,Business,India,Regular
C000709,Individual,India,Silver
C000710,Family,Australia,New
C000711,Business,India,Regular
C000712,Family,Canada,New
C000713,Couple,India,Platinum
C000714,Couple,Canada,Silver
C000715,Individual,India,Platinum
C000716,Group,India,New
C000717,Business,India,New
C000718,Group,India,New
C000719,Individual,India,New
C000720,Family,India,New
C000721,Group,India,Silver
C000722,Individual,India,New
C000723,Individual,UK,Regular
C000724,Family,India,Gold
C000725,Family,India,Silver
C000726,Business,India,Regular
C000727,Individual,India,Regular
C000728,Business,India,Regular
C000729,Individual,India,New
C000730,Individual,Australia,Silver
C000731,Individual,UAE,Regular
C000732,Business,India,Gold
C000733,Family,India,Silver
C000734,Couple,India,Silver
C000735,Couple,India,Regular
C000736,Business,India,New
C000737,Couple,India,Silver
C000738,Business,India,Regular
C000739,Couple,India,New
C000740,Couple,India,New
C000741,Couple,Singapore,New
C000742,Individual,India,Silver
C000743,Family,UAE,New
C000744,Couple,Germany,Regular
C000745,Individual,India,Regular
C000746,Business,India,Regular
C000747,Couple,India,Gold
C000748,Couple,Germany,Gold
C000749,Group,Germany,Regular
C000750,Family,India,New
C000751,Individual,India,Regular
C000752,Group,UK,Silver
C000753,Family,India,Regular
C000754,Individual,UK,Silver
C000755,Individual,Australia,New
C000756,Business,India,Silver
C000757,Family,India,New
C000758,Couple,India,Silver
C000759,Business,India,Regular
C000760,Business,India,Silver
C000761,Individual,UK,New
C000762,Individual,Australia,Regular
C000763,Individual,Canada,Silver
C000764,Family,India,New
C000765,Individual,Singapore,Gold
C000766,Couple,USA,Silver
C000767,Business,India,Regular
C000768,Business,India,Regular
C000769,Individual,India,Regular
C000770,Business,Australia,Regular
C000771,Individual,India,Regular
C000772,Business,USA,Silver
C000773,Individual,India,Regular
C000774,Couple,USA,New
C000775,Business,India,New
C000776,Individual,India,New
C000777,Individual,India,Regular
C000778,Family,India,Silver
C000779,Family,UAE,Gold
C000780,Family,India,New
C000781,Family,India,Platinum
C000782,Couple,India,Regular
C000783,Individual,India,Gold
C000784,Individual,India,Silver
C000785,Individual,India,Silver
C000786,Group,Australia,New
C000787,Family,India,New
C000788,Couple,UAE,New
C000789,Couple,Germany,Silver
C000790,Group,India,Regular
C000791,Individual,India,Gold
C000792,Family,India,Regular
C000793,Couple,Canada,Gold
C000794,Family,Australia,New
C000795,Individual,India,New
C000796,Business,UK,Regular
C000797,Group,India,Regular
C000798,Couple,Germany,Regular
C000799,Family,Canada,Silver
C000800,Group,India,New
C000801,Family,India,Regular
C000802,Individual,India,Gold
C000803,Family,India,New
C000804,Family,UAE,Platinum
C000805,Couple,India,Platinum
C000806,Family,India,New
C000807,Group,India,New
C000808,Group,Germany,Regular
C000809,Couple,India,Silver
C000810,Individual,India,Regular
C000811,Group,India,Silver
C000812,Business,Germany,Silver
C000813,Individual,UAE,New
C000814,Group,India,Gold
C000815,Business,India,Silver
C000816,Couple,India,Regular
C000817,Family,India,Gold
C000818,Couple,India,Silver
C000819,Individual,Australia,New
C000820,Individual,India,Regular
C000821,Business,UAE,Regular
C000822,Individual,India,New
C000823,Individual,USA,Platinum
C000824,Couple,USA,New
C000825,Couple,India,Silver
C000826,Group,India,Regular
C000827,Individual,India,New
C000828,Individual,India,Platinum
C000829,Family,India,Gold
C000830,Couple,India,Regular
C000831,Individual,Germany,New
C000832,Couple,India,New
C000833,Individual,UAE,Regular
C000834,Individual,India,New
C000835,Couple,UK,Regular
C000836,Couple,India,Platinum
C000837,Group,Singapore,Regular
C000838,Couple,India,Gold
C000839,Family,India,Silver
C000840,Family,India,Regular
C000841,Individual,India,Gold
C000842,Family,India,Regular
C000843,Individual,India,Gold
C000844,Group,India,New
C000845,Individual,Singapore,New
C000846,Couple,India,Gold
C000847,Individual,India,Regular
C000848,Group,USA,Gold
C000849,Couple,India,Platinum
C000850,Family,India,New
C000851,Individual,India,Regular
C000852,Family,Canada,Regular
C000853,Individual,UAE,Silver
C000854,Business,Singapore,Gold
C000855,Individual,India,New
C000856,Individual,UK,Regular
C000857,Individual,India,Silver
C000858,Couple,India,New
C000859,Couple,India,Gold
C000860,Individual,India,Silver
C000861,Business,India,Platinum
C000862,Couple,India,Regular
C000863,Couple,India,New
C000864,Couple,India,Regular
C000865,Couple,USA,New
C000866,Couple,India,Platinum
C000867,Individual,USA,New
C000868,Individual,India,Silver
C000869,Business,UAE,Regular
C000870,Group,India,Regular
C000871,Couple,India,New
C000872,Individual,India,Silver
C000873,Family,India,Regular
C000874,Couple,UAE,New
C000875,Individual,India,Gold
C000876,Individual,India,Regular
C000877,Family,Singapore,Regular
C000878,Family,India,Regular
C000879,Individual,India,New
C000880,Individual,India,Platinum
C000881,Individual,India,Regular
C000882,Family,India,New
C000883,Individual,India,Regular
C000884,Individual,Germany,Silver
C000885,Business,India,Regular
C000886,Individual,India,Silver
C000887,Family,India,New
C000888,Individual,Australia,New
C000889,Individual,UK,Gold
C000890,Individual,India,New
C000891,Family,USA,Gold
C000892,Business,India,New
C000893,Business,India,Gold
C000894,Couple,India,Regular
C000895,Family,India,Silver
C000896,Individual,India,New
C000897,Individual,Australia,New
C000898,Business,India,New
C000899,Individual,Canada,New
C000900,Individual,India,Regular
C000901,Individual,India,Regular
C000902,Individual,India,Regular
C000903,Individual,India,Gold
C000904,Family,India,Silver
C000905,Couple,India,Silver
C000906,Business,India,Regular
C000907,Business,India,Regular
C000908,Individual,UK,Regular
C000909,Individual,India,Gold
C000910,Couple,India,New
C000911,Family,India,New
C000912,Individual,Australia,Silver
C000913,Family,USA,New
C000914,Couple,India,Gold
C000915,Couple,India,Gold
C000916,Couple,India,New
C000917,Individual,Germany,New
C000918,Group,India,Regular
C000919,Business,India,Silver
C000920,Individual,India,New
C000921,Business,India,Silver
C000922,Couple,Canada,Regular
C000923,Business,India,Regular
C000924,Business,India,New
C000925,Couple,India,Silver
C000926,Individual,USA,New
C000927,Individual,UK,Gold
C000928,Couple,India,Regular
C000929,Family,India,Regular
C000930,Individual,Singapore,Gold
C000931,Individual,India,Gold
C000932,Business,India,Regular
C000933,Group,India,New
C000934,Couple,Germany,Silver
C000935,Individual,India,Regular
C000936,Individual,USA,New
C000937,Individual,India,Gold
C000938,Group,India,New
C000939,Individual,India,New
C000940,Family,India,New
C000941,Individual,India,Silver
C000942,Couple,India,Silver
C000943,Family,India,Regular
C000944,Business,Singapore,Regular
C000945,Individual,Canada,Regular
C000946,Individual,India,Silver
C000947,Individual,India,New
C000948,Group,India,Platinum
C000949,Business,India,New
C000950,Family,UAE,Platinum
C000951,Family,India,New
C000952,Family,India,Silver
C000953,Individual,UK,New
C000954,Group,India,New
C000955,Couple,India,Gold
C000956,Couple,India,Gold
C000957,Couple,India,Regular
C000958,Individual,India,Silver
C000959,Individual,UK,Regular
C000960,Family,UAE,Gold
C000961,Individual,India,Regular
C000962,Family,Canada,Regular
C000963,Individual,India,Regular
C000964,Couple,UK,Regular
C000965,Individual,India,Gold
C000966,Couple,Singapore,New
C000967,Family,Australia,New
C000968,Individual,India,Regular
C000969,Couple,Australia,Silver
C000970,Couple,UAE,New
C000971,Family,UK,Regular
C000972,Group,India,Platinum
C000973,Family,UK,New
C000974,Individual,UAE,Silver
C000975,Individual,India,Silver
C000976,Individual,Canada,Regular
C000977,Family,India,Platinum
C000978,Individual,India,Silver
C000979,Couple,India,Regular
C000980,Family,India,Regular
C000981,Individual,India,Silver
C000982,Business,India,Regular
C000983,Individual,Canada,Gold
C000984,Individual,India,Regular
C000985,Family,India,New
C000986,Couple,India,New
C000987,Family,India,New
C000988,Couple,Australia,New
C000989,Individual,India,Gold
C000990,Business,UAE,Silver
C000991,Business,India,Silver
C000992,Family,India,Silver
C000993,Individual,India,Gold
C000994,Family,India,Regular
C000995,Couple,India,Gold
C000996,Individual,India,Regular
C000997,Group,India,Platinum
C000998,Individual,UK,Silver
C000999,Group,India,New
C001000,Couple,India,Regular
C001001,Individual,India,Regular
C001002,Couple,India,New
C001003,Business,Singapore,Regular
C001004,Family,India,Regular
C001005,Business,India,New
C001006,Family,Canada,Platinum
C001007,Family,India,Silver
C001008,Business,India,Gold
C001009,Individual,India,Silver
C001010,Couple,India,Regular
C001011,Individual,UK,Regular
C001012,Group,UAE,Silver
C001013,Group,Germany,Platinum
C001014,Individual,India,New
C001015,Family,India,Gold
C001016,Group,USA,Platinum
C001017,Individual,India,Silver
C001018,Couple,India,Platinum
C001019,Group,India,Regular
C001020,Individual,India,Platinum
C001021,Family,India,Silver
C001022,Individual,UAE,New
C001023,Group,UAE,Gold
C001024,Group,India,Regular
C001025,Group,India,Regular
C001026,Couple,India,Regular
