Booking_ID,Property_ID,Room_Type_ID,Channel_ID,Customer_ID,Booking_Date,Check_In_Date,Check_Out_Date,Length_of_Stay,Adults,Children,Rooms_Booked,Payment_Method,Booking_Status,ADR,Discount_Percent,Room_Revenue,Extra_Charges,Total_Revenue
B000034,P001,RT02,CH06,C001445,10-03-2025,03-06-2025,05-06-2025,2,2,0,1,Credit Card,Confirmed,2909.2,5,5527.48,199.46,5726.94
B000035,P003,RT02,CH02,C002699,04-12-2025,09-02-2026,12-02-2026,3,2,0,1,Debit Card,Confirmed,2648.98,10,7152.25,962.31,8114.56
B000036,P001,RT03,CH01,C003429,23-01-2024,03-03-2024,04-03-2024,1,2,0,1,Cash,Checked-Out,3913.99,10,3522.59,426.71,3949.3
B000037,P007,RT01,CH04,C003907,22-03-2024,15-05-2024,17-05-2024,2,2,2,1,Credit Card,Checked-Out,1901.68,0,3803.36,922.14,4725.5
B000038,P001,RT03,CH05,C000624,21-07-2024,02-10-2024,04-10-2024,2,1,1,1,UPI,Cancelled,3912.33,5,7433.43,0,7433.43
B000039,P001,RT05,CH03,C000158,08-07-2025,19-09-2025,23-09-2025,4,3,0,1,Credit Card,Confirmed,4086.76,5,15529.69,1437.33,16967.02
B000040,P006,RT01,CH04,C000569,16-04-2024,03-07-2024,04-07-2024,1,3,1,1,Credit Card,Checked-Out,2005.61,0,2005.61,1280.95,3286.56
B000041,P007,RT04,CH06,C004055,14-03-2024,21-05-2024,26-05-2024,5,3,0,1,Credit Card,Checked-In,6676.99,5,31715.7,1496.28,33211.98
B000042,P008,RT01,CH03,C003617,21-12-2024,13-04-2025,15-04-2025,2,3,0,1,Credit Card,Checked-Out,1987.04,10,3576.67,115.64,3692.31
B000043,P005,RT02,CH04,C003905,19-07-2024,30-08-2024,01-09-2024,2,1,0,1,Cash,Confirmed,2787.24,0,5574.48,564.67,6139.15
B000044,P007,RT04,CH02,C004105,27-12-2024,14-04-2025,16-04-2025,2,3,0,1,Net Banking,Cancelled,6508.19,5,12365.56,0,12365.56
B000045,P001,RT04,CH01,C004605,11-08-2025,30-10-2025,31-10-2025,1,1,0,3,Cash,Cancelled,7040.49,0,21121.47,0,21121.47
B000046,P002,RT04,CH08,C004640,15-04-2025,05-07-2025,06-07-2025,1,2,1,1,UPI,Confirmed,4960.58,0,4960.58,3454.44,8415.02
B000047,P002,RT05,CH03,C002637,19-01-2025,16-03-2025,23-03-2025,7,2,0,1,Credit Card,Checked-In,4636.46,10,29209.7,281.94,29491.64
B000048,P002,RT02,CH02,C002040,19-01-2024,06-03-2024,08-03-2024,2,3,0,2,Debit Card,Checked-Out,2649.88,5,10069.54,397.25,10466.79
B000049,P006,RT02,CH08,C002861,06-10-2025,24-11-2025,25-11-2025,1,2,0,1,Credit Card,Cancelled,3420.1,15,2907.08,0,2907.08
B000050,P004,RT02,CH05,C004191,25-11-2025,01-02-2026,03-02-2026,2,2,0,2,Net Banking,Cancelled,2838.05,5,10784.59,0,10784.59
B000051,P008,RT01,CH04,C001301,27-07-2025,03-08-2025,04-08-2025,1,2,0,1,Debit Card,Checked-Out,1738.74,15,1477.93,203.86,1681.79
B000052,P001,RT02,CH05,C002970,06-10-2025,30-11-2025,03-12-2025,3,3,1,3,Debit Card,Confirmed,3498.28,5,29910.29,544.51,30454.8
B000053,P007,RT03,CH05,C003033,30-04-2024,17-08-2024,18-08-2024,1,4,0,2,Net Banking,Checked-Out,4206.97,5,7993.24,308.95,8302.19
B000054,P002,RT02,CH06,C004213,14-05-2024,12-08-2024,14-08-2024,2,3,1,1,Credit Card,Checked-Out,2998.06,0,5996.12,568.83,6564.95
B000055,P006,RT03,CH01,C001480,11-09-2024,08-12-2024,11-12-2024,3,2,0,1,Credit Card,Cancelled,4121.17,5,11745.33,0,11745.33
B000056,P004,RT03,CH03,C004456,29-12-2024,23-04-2025,24-04-2025,1,3,0,1,Debit Card,Checked-In,4555.44,0,4555.44,420.93,4976.37
B000057,P008,RT01,CH03,C003955,29-11-2024,24-12-2024,25-12-2024,1,4,1,1,Debit Card,Cancelled,2163.71,0,2163.71,0,2163.71
B000058,P002,RT02,CH01,C002373,28-06-2025,14-10-2025,18-10-2025,4,3,1,1,Net Banking,Checked-Out,3385,15,11509,1094.25,12603.25
B000059,P003,RT02,CH03,C001944,06-01-2024,28-01-2024,30-01-2024,2,2,0,1,Debit Card,Confirmed,2946.89,0,5893.78,367.07,6260.85
B000060,P005,RT02,CH05,C000074,16-08-2025,25-09-2025,26-09-2025,1,2,1,1,Credit Card,Checked-In,2808.28,15,2387.04,640.26,3027.3
B000061,P001,RT03,CH02,C003904,13-05-2024,07-08-2024,12-08-2024,5,2,1,1,Credit Card,Confirmed,3669.8,0,18349,319.35,18668.35
B000062,P005,RT02,CH03,C001443,16-07-2025,16-10-2025,19-10-2025,3,2,0,1,Credit Card,Checked-Out,3350.08,0,10050.24,281.37,10331.61
B000063,P005,RT04,CH05,C003990,09-08-2024,13-11-2024,14-11-2024,1,2,0,1,Credit Card,Cancelled,6504.62,10,5854.16,0,5854.16
B000064,P003,RT03,CH04,C004903,24-09-2024,21-11-2024,23-11-2024,2,3,0,2,Credit Card,Checked-Out,4283.1,10,15419.16,1991.53,17410.69
B000065,P003,RT02,CH07,C003895,15-12-2025,11-04-2026,13-04-2026,2,2,0,1,Credit Card,Checked-In,3376.05,5,6414.5,886.51,7301.01
B000066,P003,RT03,CH06,C003814,25-09-2025,12-10-2025,13-10-2025,1,4,0,2,Credit Card,Checked-Out,3941.15,0,7882.3,348.83,8231.13
B000067,P004,RT01,CH08,C001287,11-05-2024,20-07-2024,22-07-2024,2,4,0,1,Credit Card,Checked-Out,1844.25,0,3688.5,494.83,4183.33
B000068,P002,RT01,CH04,C000551,21-02-2024,26-05-2024,28-05-2024,2,4,1,1,UPI,Confirmed,2030.15,0,4060.3,78.73,4139.03
B000069,P007,RT01,CH05,C002452,11-09-2024,24-12-2024,29-12-2024,5,2,0,1,Net Banking,Confirmed,2074.72,0,10373.6,140.28,10513.88
B000070,P001,RT02,CH07,C002152,04-11-2024,13-01-2025,14-01-2025,1,2,1,2,Debit Card,Confirmed,3161.57,0,6323.14,985.09,7308.23
B000071,P003,RT01,CH07,C003512,14-12-2024,21-12-2024,23-12-2024,2,2,0,2,Debit Card,Checked-In,2292.46,15,7794.36,1525.99,9320.35
B000072,P006,RT05,CH05,C001888,26-09-2024,17-01-2025,18-01-2025,1,3,0,1,Credit Card,Checked-Out,4954.77,0,4954.77,470.78,5425.55
B000073,P008,RT02,CH04,C002191,08-02-2025,06-04-2025,07-04-2025,1,2,1,1,Credit Card,No-Show,3093.3,5,2938.64,0,2938.64
B000074,P001,RT03,CH02,C002762,08-09-2025,01-12-2025,02-12-2025,1,2,0,1,UPI,Checked-Out,3837.19,0,3837.19,813.36,4650.55
B000075,P008,RT01,CH07,C004303,07-06-2024,20-09-2024,24-09-2024,4,2,1,1,Credit Card,Checked-Out,1916.95,0,7667.8,521.66,8189.46
B000076,P007,RT01,CH06,C002594,17-06-2024,03-07-2024,05-07-2024,2,2,1,1,Credit Card,Confirmed,1677.02,5,3186.34,197.96,3384.3
B000077,P001,RT01,CH07,C000824,08-10-2025,27-11-2025,28-11-2025,1,2,1,1,UPI,Confirmed,2284.68,10,2056.21,1328.59,3384.8
B000078,P001,RT03,CH02,C001107,26-07-2025,27-08-2025,28-08-2025,1,1,1,1,UPI,Confirmed,4360.39,5,4142.37,405.58,4547.95
B000079,P003,RT02,CH03,C002220,27-09-2024,26-10-2024,28-10-2024,2,2,0,2,Net Banking,Checked-Out,2999.03,5,11396.31,456.93,11853.24
B000080,P003,RT02,CH03,C003770,09-09-2025,13-11-2025,15-11-2025,2,2,0,1,Credit Card,Checked-Out,3078.65,0,6157.3,911.35,7068.65
B000081,P002,RT02,CH07,C000362,21-04-2025,19-06-2025,20-06-2025,1,2,0,1,UPI,Cancelled,3066.58,0,3066.58,0,3066.58
B000082,P007,RT03,CH07,C004138,02-02-2025,19-03-2025,21-03-2025,2,2,1,1,Credit Card,Checked-In,3774.3,15,6416.31,1043.59,7459.9
B000083,P003,RT01,CH03,C001764,06-12-2024,15-03-2025,16-03-2025,1,2,1,1,Credit Card,Checked-Out,2063.87,10,1857.48,393.13,2250.61
B000084,P003,RT03,CH05,C004596,08-09-2025,29-09-2025,02-10-2025,3,2,0,1,UPI,Checked-In,3578.38,10,9661.63,793.29,10454.92
B000085,P001,RT02,CH01,C004228,22-08-2025,22-09-2025,24-09-2025,2,2,0,2,Credit Card,Checked-Out,2581.41,5,9809.36,765.88,10575.24
B000086,P002,RT03,CH03,C002958,07-01-2024,28-04-2024,30-04-2024,2,3,1,2,Credit Card,Checked-Out,3928.69,15,13357.55,450.12,13807.67
B000087,P005,RT01,CH04,C002473,24-01-2024,17-02-2024,24-02-2024,7,3,0,2,Debit Card,Confirmed,1797.66,0,25167.24,1051.85,26219.09
B000088,P003,RT02,CH06,C001077,22-07-2025,11-11-2025,16-11-2025,5,3,0,1,Cash,Cancelled,2876.11,5,13661.52,0,13661.52
B000089,P006,RT01,CH07,C001421,27-12-2025,03-01-2026,06-01-2026,3,3,0,1,Net Banking,Checked-Out,1777.85,5,5066.87,665.42,5732.29
B000090,P003,RT05,CH03,C000464,15-11-2024,19-02-2025,21-02-2025,2,2,0,1,Net Banking,Checked-Out,4702.21,5,8934.2,230.64,9164.84
B000091,P005,RT02,CH04,C001379,20-06-2025,21-08-2025,23-08-2025,2,2,0,2,Credit Card,Checked-In,2655.98,0,10623.92,256.68,10880.6
B000092,P001,RT05,CH05,C002241,31-03-2025,28-04-2025,04-05-2025,6,3,2,1,Cash,No-Show,4670.82,15,23821.18,0,23821.18
B000093,P007,RT02,CH03,C004090,21-02-2025,12-05-2025,17-05-2025,5,2,0,1,Debit Card,Confirmed,3027.86,0,15139.3,292.16,15431.46
B000094,P002,RT01,CH08,C002435,27-04-2025,05-06-2025,06-06-2025,1,2,1,1,UPI,Checked-In,1781.18,5,1692.12,1206.37,2898.49
B000095,P001,RT02,CH07,C004753,19-07-2025,01-09-2025,02-09-2025,1,2,0,1,Debit Card,Confirmed,2944.57,0,2944.57,913.19,3857.76
B000096,P007,RT01,CH03,C001796,26-03-2024,27-03-2024,29-03-2024,2,3,0,2,UPI,Checked-In,1682.94,5,6395.17,204.8,6599.97
B000097,P004,RT05,CH04,C003897,17-05-2025,04-07-2025,06-07-2025,2,3,0,1,Net Banking,Checked-Out,4062.76,5,7719.24,434.38,8153.62
B000098,P003,RT03,CH02,C000795,29-12-2024,10-04-2025,12-04-2025,2,2,1,1,Credit Card,Checked-Out,4254.62,5,8083.78,814.92,8898.7
B000099,P007,RT03,CH04,C003068,06-02-2024,27-05-2024,28-05-2024,1,2,0,1,Net Banking,Confirmed,4715.12,0,4715.12,654.28,5369.4
B000100,P006,RT02,CH05,C003288,12-10-2024,01-02-2025,02-02-2025,1,2,0,1,UPI,Checked-Out,2726.54,0,2726.54,208.41,2934.95
B000101,P007,RT02,CH01,C001300,21-05-2025,20-06-2025,22-06-2025,2,2,0,1,UPI,Cancelled,2975.91,10,5356.64,0,5356.64
B000102,P004,RT05,CH07,C004204,17-09-2025,23-11-2025,28-11-2025,5,3,0,1,UPI,Cancelled,4631,10,20839.5,0,20839.5
B000103,P003,RT01,CH04,C004352,06-07-2024,19-10-2024,22-10-2024,3,3,0,2,Credit Card,Checked-In,2185.94,5,12459.86,1590.04,14049.9
B000104,P004,RT03,CH08,C002438,09-05-2024,06-08-2024,08-08-2024,2,3,0,2,Debit Card,Cancelled,3693.77,15,12558.82,0,12558.82
B000105,P005,RT02,CH01,C000725,30-10-2024,07-11-2024,08-11-2024,1,2,0,1,Cash,Cancelled,3016.51,10,2714.86,0,2714.86
B000106,P003,RT05,CH07,C001233,27-12-2025,31-03-2026,01-04-2026,1,2,1,2,UPI,Checked-In,4261.95,0,8523.9,493.41,9017.31
B000107,P006,RT04,CH06,C003083,19-06-2025,28-06-2025,01-07-2025,3,3,2,1,Cash,Checked-Out,6139.9,10,16577.73,489.15,17066.88
B000108,P003,RT05,CH02,C003218,05-09-2024,25-10-2024,26-10-2024,1,2,0,2,Debit Card,Checked-Out,4973.62,0,9947.24,732.56,10679.8
B000109,P004,RT02,CH03,C003107,14-08-2024,22-10-2024,25-10-2024,3,3,0,1,UPI,No-Show,3605.12,0,10815.36,0,10815.36
B000110,P008,RT01,CH07,C001591,12-12-2025,24-01-2026,26-01-2026,2,3,1,1,Credit Card,Checked-In,1994.31,20,3190.9,1516.25,4707.15
B000111,P002,RT02,CH04,C000540,28-04-2025,23-05-2025,24-05-2025,1,1,0,2,Net Banking,Confirmed,3454.01,5,6562.62,477.38,7040
B000112,P004,RT03,CH03,C000109,19-10-2025,01-01-2026,03-01-2026,2,2,1,1,UPI,Checked-Out,3844.37,10,6919.87,1440.86,8360.73
B000113,P003,RT03,CH07,C002072,19-11-2024,05-02-2025,10-02-2025,5,2,0,1,Credit Card,Checked-In,4363.65,15,18545.51,491.55,19037.06
B000114,P008,RT01,CH01,C001697,08-01-2024,07-05-2024,08-05-2024,1,4,0,2,Cash,Checked-In,1850.72,5,3516.37,649.34,4165.71
B000115,P003,RT02,CH04,C004595,25-02-2024,18-05-2024,24-05-2024,6,3,2,1,Credit Card,No-Show,3478.43,0,20870.58,0,20870.58
B000116,P007,RT01,CH05,C003038,26-07-2025,11-10-2025,12-10-2025,1,4,0,1,Credit Card,Checked-Out,2117.14,5,2011.28,590.51,2601.79
B000117,P008,RT04,CH04,C002420,04-07-2025,19-10-2025,21-10-2025,2,3,0,2,Debit Card,Checked-Out,6961.05,0,27844.2,1009.4,28853.6
B000118,P002,RT01,CH02,C001189,30-09-2024,22-01-2025,25-01-2025,3,2,1,1,Debit Card,No-Show,1646.71,5,4693.12,0,4693.12
B000119,P001,RT03,CH04,C000050,06-04-2024,26-04-2024,30-04-2024,4,4,0,1,Credit Card,Confirmed,4323.71,10,15565.36,564.54,16129.9
B000120,P002,RT01,CH05,C003695,19-10-2025,03-02-2026,05-02-2026,2,2,1,1,UPI,Checked-Out,2022.7,0,4045.4,289.74,4335.14
B000121,P001,RT01,CH04,C003597,07-04-2024,06-07-2024,07-07-2024,1,2,0,1,Debit Card,Checked-Out,2018.11,5,1917.2,802.21,2719.41
B000122,P006,RT05,CH05,C000071,29-07-2024,27-08-2024,30-08-2024,3,4,1,1,UPI,Checked-In,4361.99,0,13085.97,1525.32,14611.29
B000123,P003,RT01,CH02,C001955,07-07-2025,15-09-2025,17-09-2025,2,2,2,1,Net Banking,Checked-Out,1850.77,0,3701.54,1057.22,4758.76
B000124,P007,RT01,CH07,C000492,18-07-2025,26-10-2025,28-10-2025,2,2,0,1,Credit Card,Cancelled,2106.48,0,4212.96,0,4212.96
B000125,P008,RT01,CH03,C000474,02-02-2024,16-02-2024,17-02-2024,1,2,0,1,Debit Card,Checked-Out,2042.79,10,1838.51,154.71,1993.22
B000126,P005,RT02,CH08,C004082,03-10-2024,21-12-2024,23-12-2024,2,2,0,1,UPI,Confirmed,3347.59,10,6025.66,662.29,6687.95
B000127,P005,RT02,CH01,C004120,19-03-2025,03-07-2025,06-07-2025,3,3,0,1,UPI,Checked-Out,3172.94,10,8566.94,2695.36,11262.3
B000128,P004,RT01,CH03,C000469,15-10-2025,12-12-2025,13-12-2025,1,2,0,1,Credit Card,Confirmed,1869.97,0,1869.97,1496.02,3365.99
B000129,P002,RT03,CH02,C001461,02-03-2025,24-05-2025,26-05-2025,2,3,0,1,UPI,Confirmed,4420.37,5,8398.7,573.67,8972.37
B000130,P008,RT01,CH04,C004310,09-05-2024,29-08-2024,31-08-2024,2,4,0,1,Debit Card,Checked-Out,1706.02,0,3412.04,581.27,3993.31
B000131,P002,RT04,CH02,C004243,22-10-2024,31-01-2025,02-02-2025,2,3,0,1,Net Banking,Confirmed,5236.94,0,10473.88,521.28,10995.16
B000132,P008,RT03,CH06,C001710,15-07-2025,06-10-2025,13-10-2025,7,2,0,1,Credit Card,Checked-In,4146.56,5,27574.62,303.74,27878.36
B000133,P005,RT05,CH07,C003501,23-04-2025,17-07-2025,24-07-2025,7,2,1,2,Credit Card,Checked-Out,4094.18,0,57318.52,589.58,57908.1
B000134,P001,RT05,CH02,C001440,28-07-2025,05-10-2025,07-10-2025,2,2,0,1,Net Banking,Checked-Out,4922.01,5,9351.82,62.41,9414.23
B000135,P002,RT01,CH02,C001029,19-04-2024,04-08-2024,05-08-2024,1,4,0,1,Debit Card,Checked-Out,1990.27,0,1990.27,156.63,2146.9
B000136,P001,RT02,CH07,C000844,15-11-2024,10-03-2025,12-03-2025,2,3,0,1,UPI,Checked-In,3063.01,5,5819.72,165.29,5985.01
B000137,P001,RT03,CH03,C000872,26-06-2024,07-10-2024,11-10-2024,4,2,0,1,Net Banking,Checked-In,3934.57,0,15738.28,2032.42,17770.7
B000138,P001,RT01,CH03,C002898,28-01-2025,16-02-2025,18-02-2025,2,2,0,2,Credit Card,Checked-In,1769.35,0,7077.4,334.63,7412.03
B000139,P001,RT01,CH02,C000723,31-08-2024,07-11-2024,09-11-2024,2,1,0,1,Credit Card,Checked-Out,2290.62,10,4123.12,431.2,4554.32
B000140,P007,RT01,CH03,C002831,19-08-2025,10-10-2025,14-10-2025,4,2,0,2,Credit Card,Cancelled,1908.8,0,15270.4,0,15270.4
B000141,P004,RT02,CH02,C003401,23-04-2024,06-07-2024,09-07-2024,3,4,0,2,Credit Card,Cancelled,2876.1,5,16393.77,0,16393.77
B000142,P004,RT02,CH05,C003312,25-04-2024,26-04-2024,28-04-2024,2,2,2,1,Net Banking,Cancelled,3330.6,0,6661.2,0,6661.2
B000143,P007,RT01,CH04,C002875,24-10-2025,22-11-2025,24-11-2025,2,1,1,1,UPI,Checked-In,1908.68,10,3435.62,1371.2,4806.82
B000144,P005,RT01,CH06,C002004,02-07-2025,09-07-2025,12-07-2025,3,3,0,1,UPI,Checked-Out,1770.43,10,4780.16,645.72,5425.88
B000145,P008,RT03,CH03,C002052,06-08-2025,14-09-2025,15-09-2025,1,1,0,1,Net Banking,Checked-Out,4290.16,5,4075.65,705.17,4780.82
B000146,P004,RT01,CH04,C001738,17-05-2024,24-05-2024,26-05-2024,2,1,0,1,Net Banking,Checked-Out,2129.43,0,4258.86,1584.61,5843.47
B000147,P008,RT05,CH02,C004136,12-02-2025,28-02-2025,02-03-2025,2,2,0,1,Net Banking,Checked-Out,5127.12,15,8716.1,357.05,9073.15
B000148,P006,RT01,CH08,C002625,15-10-2024,25-01-2025,01-02-2025,7,1,0,1,UPI,Checked-Out,1797.63,10,11325.07,1117.31,12442.38
B000149,P007,RT03,CH04,C001287,12-06-2025,18-09-2025,19-09-2025,1,2,0,1,Debit Card,Confirmed,3541.19,5,3364.13,272.11,3636.24
B000150,P002,RT02,CH02,C000577,06-10-2024,04-11-2024,05-11-2024,1,3,1,1,Cash,Checked-In,2986.62,5,2837.29,785.12,3622.41
B000151,P006,RT01,CH02,C000788,25-06-2024,25-06-2024,29-06-2024,4,2,0,2,Net Banking,Checked-In,1870.06,10,13464.43,711.96,14176.39
B000152,P007,RT02,CH01,C001568,29-08-2024,05-11-2024,07-11-2024,2,2,0,1,Credit Card,Checked-In,3518.59,15,5981.6,1764.94,7746.54
B000153,P004,RT02,CH01,C001889,25-06-2025,27-08-2025,28-08-2025,1,2,1,1,Credit Card,Cancelled,2668.24,10,2401.42,0,2401.42
B000154,P002,RT04,CH04,C000164,30-07-2025,17-10-2025,23-10-2025,6,3,0,1,UPI,Cancelled,6514.5,15,33223.95,0,33223.95
B000155,P008,RT03,CH03,C000402,16-01-2025,20-02-2025,21-02-2025,1,2,0,1,UPI,Checked-Out,3662.91,0,3662.91,2182.57,5845.48
B000156,P002,RT01,CH08,C002533,21-03-2024,07-06-2024,12-06-2024,5,2,0,1,UPI,No-Show,1764.7,10,7941.15,0,7941.15
B000157,P008,RT01,CH02,C000353,13-01-2024,10-05-2024,14-05-2024,4,2,1,2,Debit Card,Confirmed,1918.39,5,14579.76,295.01,14874.77
B000158,P001,RT01,CH06,C000673,27-11-2025,14-01-2026,17-01-2026,3,2,0,1,UPI,Checked-In,2050.81,5,5844.81,324.75,6169.56
B000159,P005,RT01,CH03,C002885,19-03-2025,07-06-2025,12-06-2025,5,2,0,1,Cash,No-Show,1957.49,10,8808.71,0,8808.71
B000160,P001,RT02,CH02,C003154,17-05-2024,01-08-2024,02-08-2024,1,2,0,1,Credit Card,Checked-Out,3031.08,0,3031.08,501.65,3532.73
B000161,P007,RT05,CH08,C000265,11-07-2024,03-08-2024,04-08-2024,1,3,0,1,Debit Card,No-Show,5127.1,5,4870.74,0,4870.74
B000162,P001,RT02,CH06,C001066,05-12-2024,21-03-2025,23-03-2025,2,2,0,2,Net Banking,Checked-In,3002.23,0,12008.92,601.08,12610
B000163,P006,RT03,CH05,C003455,25-01-2025,16-05-2025,23-05-2025,7,3,0,1,Credit Card,Checked-Out,3986.5,0,27905.5,411.44,28316.94
B000164,P008,RT03,CH05,C000207,24-04-2025,27-04-2025,28-04-2025,1,1,0,1,Debit Card,Checked-In,4665.33,15,3965.53,327.87,4293.4
B000165,P008,RT04,CH08,C004206,21-06-2025,09-10-2025,10-10-2025,1,1,0,2,Credit Card,Cancelled,6951.94,10,12513.49,0,12513.49
B000166,P004,RT01,CH04,C003502,24-08-2024,09-12-2024,12-12-2024,3,3,0,1,Credit Card,Checked-Out,1980.9,0,5942.7,946.29,6888.99
B000167,P008,RT03,CH01,C000408,20-09-2025,07-01-2026,08-01-2026,1,1,0,1,UPI,Checked-Out,4121.67,5,3915.59,300.8,4216.39
B000168,P006,RT04,CH01,C004936,30-03-2025,14-06-2025,16-06-2025,2,3,1,1,Credit Card,Checked-Out,5732.09,10,10317.76,170.3,10488.06
B000169,P004,RT01,CH05,C001660,03-07-2025,02-09-2025,05-09-2025,3,4,0,2,Cash,Cancelled,1631.22,5,9297.95,0,9297.95
B000170,P006,RT01,CH05,C002757,05-11-2024,13-11-2024,17-11-2024,4,3,1,2,Credit Card,Checked-Out,1900.2,0,15201.6,698.31,15899.91
